CO/STATE,RECORDED,DATE,GRANTOR,Address,CITY,GRANTEE,PRICE,TYPE,BUILT,LAND AC,IMP SF,UNITS,LAND SF,$/SF IMP,$/UNIT IMP,$/SF LAND,GARAGE,CAP RATE,NOI,EXP,EGI,OCCUP,Corner Y/N,Reg Site shape,Utilities,Location,Quality,Condition,Description,Comments
DO-CO,2016068942,9/30/2017,Kenneth W Petrie,10235 Progress Way,Parker,Meek Property Holdings,1090000,Ind,1984,1.02,12250,0,44431,88.97959184,#DIV/0!,24.53231063,0,0.0635,69215,34517,103732,1.0000,N,Y,Y,2,2,2,MT Ind,"MT flex space, 7 tenant smaller unit sizes."
DO-CO,2016059623,8/11/2016,Plum Creek Investment Group LLC,NEC Perry St & Manatt Ct,Castle Rock,CRPW LLC,1050000,Lnd,0,3.49,46330,0,151967,22.66350097,#DIV/0!,6.909394803,0,,,,,,Y,Y,Y,2,2,2,Ind land,"Plan 46,330 SF for personal storage units"
DO-CO,2016060038,9/30/2016,SP Lincoln Avenue Retail @ Meridian,N/S E Lincoln Ave 425' E of Zenith Meridian Dr,Englewood,CBH Properties Lincoln Meridian LLC,650000,Lnd,0,1.00,5840,0,43547,111.3013699,#DIV/0!,14.92640136,0,,,,,,N,Y,Y,2,2,2,Ind land,"Plan 5,840 SF for auto repair."
AD-CO,2016092558,10/27/2016,Scannell Properties 218 LLC,2200 Himalaya Rd,Aurora,Buckhead Aurora Industrial LLC,31900000,Ind,2016,31.73,270000,,1382159,118.1481481,#DIV/0!,23.07983714,0,,,,,1.0000,N,Y,Y,2,3,3,KeHe Distribut,"ST warehouse with 60,000 SF cooler space."
AD-CO,2016091144,10/24/2016,Oneida Street Partners LLC,8085-95 Oneida St,Commerce City,Dexter Street Six LLC,4000000,Ind,2015,3.86,36000,,168142,111.1111111,#DIV/0!,23.78947268,0,0.0749,299520,51840,351360,1.0000,N,Y,Y,2,2,3,MT ind,Newer metal 15 tenant ind with $9.76 SF MG avg $1.44 SF exp.
AD-CO,2016092558,10/28/2016,D & D Holdings LLC,8651 Grant St,Thornton,Moreland Arizona Properties LLC,1850000,Ret,2002,1.05,16631,,45833,111.2380494,#DIV/0!,40.36392992,0,0.1014,187661,52055,239716,1.0000,N,Y,Y,2,2,3,Tool Zone,2 sty retail fully occupied.
AR-CO,D6123278,10/24/2016,DDR Aspen Grove Lifestyle Properties,7301 S Santa Fe Dr,Littleton,Aspen GRF2 LLC,82000000,Ret,36951,32.74,266970,,1426285,307.1506162,#DIV/0!,57.49201275,0,0.0690,5658000,,,0.8800,N,Y,Y,3,3,3,MT shop ctr,"Alamo cinema, Ulta, Pier One."
AR-CO,D6129215,11/8/2016,Loja Arapahoe LLC,8501-77 E Arapahoe Rd,Greenwood Village,CLPF - KSA Grocery Portfolio,68750000,Ret,1989,16.22,192096,,706543,357.8939697,#DIV/0!,97.30473664,0,0.0575,3953125,,,0.9600,N,Y,Y,3,3,2,MT shop ctr,"Sprouts, Office Depot, Vitamin Cottage"
AR-CO,D6125000,10/31/2016,Broadway and Belleview LLC,5051 S Acoma St & 105-95 W Belleview Ave,Englewood,SSP Brix LLC,25750000,Apt,1961,1.09,117580,175,47473,218.9998299,147142.8571,542.4135825,0,,,,1625892,0.9500,Y,Y,Y,3,3,3,MT apts,Average project about half updated.
AR-CO,D6121242,10/21/2016,Glendale Red Brick LLc,1140-90 S Bellaire St,Glendale,Urban Neighborhood Denver LLc,8900000,Apt,1969,1.09,43876,64,47473,202.8443796,139062.5,187.4749858,0,0.0600,534000,187200,721200,0.9500,Y,Y,Y,3,3,3,MT apts,Average project fully updated.
